city,total_orders,total_revenue,total_freight,delivery_orders,late_orders,avg_delivery_delay_days,reviewed_orders,avg_review_score,negative_reviews,late_delivery_rate,negative_review_rate,freight_ratio
amambai,6,751.98,138.71,6,0,-10.902729552469134,6,5.0,0.0,0.0,0.0,0.18445969307694354
amanari,1,390.0,29.39,1,0,-2.5472453703703706,1,5.0,0.0,0.0,0.0,0.07535897435897436
amapa do maranhao,1,15.9,34.15,1,0,-24.60667824074074,1,5.0,0.0,0.0,0.0,2.147798742138365
amapora,2,129.9,50.75,2,0,-10.883298611111112,2,4.5,0.0,0.0,0.0,0.390685142417244
amaraji,2,476.89,45.0,2,0,-16.59087962962963,2,4.5,0.0,0.0,0.0,0.0943613831281847
amarante,1,760.0,193.84,1,0,-29.50516203703704,1,5.0,0.0,0.0,0.0,0.25505263157894736
amargosa,1,54.99,16.82,1,0,-8.296493055555555,1,5.0,0.0,0.0,0.0,0.30587379523549735
amelia rodrigues,3,372.39,57.629999999999995,3,0,-17.2696875,3,5.0,0.0,0.0,0.0,0.15475710948199467
america dourada,1,169.9,48.02,1,1,14.386539351851852,1,1.0,1.0,100.0,100.0,0.28263684520306065
americana,224,24926.37,3753.36,216,18,-10.38147162208505,224,4.212053571428571,26.0,8.333333333333332,11.607142857142858,0.15057788197800162
americano do brasil,3,291.49,54.8,3,0,-12.589776234567902,3,5.0,0.0,0.0,0.0,0.18799958832206934
americo brasiliense,17,2360.1,328.79,17,3,-8.252764161220043,17,3.9411764705882355,3.0,17.647058823529413,17.647058823529413,0.13931189356383206
americo de campos,1,279.9,13.46,1,0,-13.53556712962963,1,5.0,0.0,0.0,0.0,0.04808860307252591
ametista do sul,2,242.8,32.71,2,0,-13.780873842592593,2,5.0,0.0,0.0,0.0,0.13471993410214167
amontada,1,45.9,35.67,1,0,-15.254479166666666,1,5.0,0.0,0.0,0.0,0.777124183006536
amparo,67,11751.58,1250.24,63,3,-10.486928644914757,67,4.3283582089552235,6.0,4.761904761904762,8.955223880597014,0.10638909831699227
amparo da serra,1,49.95,16.11,1,0,-15.144027777777778,1,2.0,1.0,0.0,100.0,0.3225225225225225
ampere,9,1769.67,216.28,8,1,-13.85419560185185,9,4.555555555555555,1.0,12.5,11.11111111111111,0.1222148762198602
anadia,2,379.89,82.71000000000001,2,0,-20.196203703703702,2,5.0,0.0,0.0,0.0,0.21772091921345654
anage,1,63.8,33.58,1,0,-22.288333333333334,1,5.0,0.0,0.0,0.0,0.5263322884012539
analandia,4,511.03,64.66999999999999,4,1,-9.73412326388889,4,4.25,0.0,25.0,0.0,0.12654834354147504
ananas,1,96.8,25.96,1,0,-13.446076388888889,1,5.0,0.0,0.0,0.0,0.2681818181818182
